Country code	Sector code	Area	Production	Green water intensity	Blue water intensity	Grey water intensity	Total green water	Total blue water	Total grey water
"AFG"	"maiz"	"72,433"	"106,670"	"924"	"4,552"	"68"	"99"	"486"	"7"
"AFG"	"sorg"	"2,307"	"11,640"	"2,698"	"0"	"49"	"31"	"0"	"1"
"AFG"	"rice"	"117,539"	"352,177"	"359"	"2,544"	"54"	"126"	"896"	"19"
"AFG"	"whea"	"1,719,147"	"3,670,081"	"2,296"	"451"	"7"	"8,426"	"1,656"	"27"
"AFG"	"puls"	"61,166"	"61,778"	"1,098"	"3,261"	"295"	"68"	"201"	"18"
"AFG"	"oils"	"52,317"	"67,315"	"862"	"5,805"	"104"	"58"	"391"	"7"
"AFG"	"ipot"	"32,400"	"615,684"	"117"	"150"	"23"	"72"	"92"	"14"
"AFG"	"leaf"	"0"	"61,433"	"4,109"	"4,494"	"61"	"252"	"276"	"4"
"AFG"	"vege"	"92,004"	"745,019"	"4,109"	"0"	"0"	"3,061"	"0"	"0"
"AFG"	"sugr"	"1,962"	"30,784"	"1,900"	"0"	"2,426"	"58"	"0"	"75"
"AFG"	"nuts"	"28,677"	"66,521"	"3,362"	"9,885"	"164"	"224"	"658"	"11"
"AFG"	"frui"	"232,026"	"2,177,779"	"431"	"1,237"	"22"	"939"	"2,694"	"48"
"AFG"	"ocrp"	"28,869"	"18,148"	"1,364"	"8,486"	"656"	"25"	"154"	"12"
"AFG"	"catt"	"0"	"129,691"	"6,963"	"4,155"	"137"	"903"	"539"	"18"
"AFG"	"milk"	"0"	"2,128,119"	"615"	"953"	"29"	"1,309"	"2,028"	"62"
"AFG"	"poul"	"0"	"28,850"	"2,731"	"6,042"	"186"	"79"	"174"	"5"
"AFG"	"eggs"	"0"	"22,373"	"1,878"	"4,376"	"143"	"42"	"98"	"3"
"AFG"	"smlr"	"0"	"175,333"	"4,569"	"325"	"7"	"801"	"57"	"1"
"AFG"	"oliv"	"0"	"13,738"	"15,359"	"5,973"	"84"	"211"	"82"	"1"
"AFG"	"aqua"	"0"	"9"	"1,629"	"179"	"166"	"0"	"0"	"0"
"AFG"	"meat"	"0"	"55,575"	"0"	"0"	"0"	"0"	"0"	"0"
"AFG"	"fveg"	"0"	"53,972"	"0"	"2"	"0"	"0"	"0"	"0"
"AFG"	"foil"	"0"	"41,228"	"0"	"0"	"0"	"0"	"0"	"0"
"AFG"	"dair"	"0"	"1,498,883"	"0"	"2"	"0"	"0"	"3"	"0"
"AFG"	"mmll"	"0"	"27,553"	"0"	"2"	"0"	"0"	"0"	"0"
"AFG"	"rmll"	"0"	"210,239"	"0"	"2"	"0"	"0"	"0"	"0"
"AFG"	"wmll"	"0"	"3,192,783"	"0"	"2"	"0"	"0"	"5"	"0"
"AFG"	"gmll"	"0"	"82,977"	"0"	"2"	"0"	"0"	"0"	"0"
"AFG"	"sref"	"0"	"5,528"	"0"	"1"	"0"	"0"	"0"	"0"
"AFG"	"food"	"0"	"29,034"	"0"	"2"	"0"	"0"	"0"	"0"
"AGO"	"maiz"	"2,639,535"	"2,765,316"	"9,441"	"0"	"10"	"26,107"	"0"	"28"
"AGO"	"sorg"	"460,543"	"91,703"	"9,326"	"0"	"21"	"855"	"0"	"2"
"AGO"	"rice"	"8,417"	"267,384"	"3,498"	"2,082"	"617"	"935"	"557"	"165"
"AGO"	"whea"	"2,428"	"2,820"	"909"	"0"	"1,182"	"3"	"0"	"3"
"AGO"	"puls"	"822,411"	"314,932"	"1,852"	"0"	"22"	"583"	"0"	"7"
"AGO"	"gnut"	"337,971"	"212,089"	"12,310"	"0"	"47"	"2,611"	"0"	"10"
"AGO"	"oils"	"105,126"	"417,889"	"5,347"	"100"	"245"	"2,235"	"42"	"102"
"AGO"	"cass"	"944,152"	"9,120,517"	"819"	"0"	"1"	"7,470"	"0"	"9"
"AGO"	"ipot"	"63,845"	"458,217"	"493"	"0"	"1"	"226"	"0"	"0"
"AGO"	"spot"	"178,225"	"1,688,122"	"790"	"58"	"2"	"1,334"	"98"	"3"
"AGO"	"leaf"	"127,149"	"355,233"	"1,443"	"206"	"47"	"512"	"73"	"17"
"AGO"	"vege"	"94,043"	"459,798"	"936"	"113"	"17"	"430"	"52"	"8"
"AGO"	"sugr"	"16,395"	"639,421"	"101"	"163"	"4"	"65"	"104"	"3"
"AGO"	"toba"	"2,904"	"2,984"	"713"	"0"	"8"	"2"	"0"	"0"
"AGO"	"cott"	"4,802"	"6,902"	"4,389"	"287"	"7"	"30"	"2"	"0"
"AGO"	"nuts"	"2,668"	"2,170"	"15,304"	"1,264"	"19"	"33"	"3"	"0"
"AGO"	"bana"	"162,154"	"3,954,036"	"814"	"130"	"8"	"3,219"	"514"	"32"
"AGO"	"frui"	"114,844"	"1,054,235"	"353"	"21"	"6"	"372"	"22"	"7"
"AGO"	"coff"	"53,362"	"16,079"	"231,136"	"0"	"232"	"3,716"	"0"	"4"
